table_name,row_count
HUB_CUSTOMER_SEGMENT,1259
HUB_LOCATION,631
HUB_PRODUCT,17
HUB_SHIP_MODE,4
LINK_SALES_TRANSACTION,9994
SAT_CUSTOMER_SEGMENT_DETAILS,1259
SAT_LOCATION_DETAILS,632
SAT_PRODUCT_DETAILS,17
SAT_SALES_DETAILS,9994
SAT_SHIP_MODE_DETAILS,4
